iter	Passed	Remaining
0	0	251
1	1	238
2	2	224
3	3	222
4	3	216
5	4	213
6	5	214
7	6	220
8	7	233
9	8	241
10	9	252
11	10	252
12	11	250
13	12	248
14	12	246
15	13	245
16	14	243
17	15	242
18	16	239
19	16	237
20	17	235
21	18	233
22	19	232
23	20	230
24	21	236
25	22	241
26	23	239
27	24	237
28	25	235
29	25	233
30	26	231
31	27	229
32	28	227
33	28	225
34	29	223
35	30	221
36	30	219
37	31	218
38	32	216
39	33	218
40	34	218
41	35	218
42	36	218
43	37	217
44	37	215
45	38	213
46	39	211
47	40	210
48	40	209
49	41	207
50	42	206
51	43	205
52	43	204
53	44	202
54	45	201
55	45	200
56	46	199
57	47	199
58	49	200
59	49	199
60	50	198
61	51	197
62	52	196
63	52	195
64	53	193
65	54	192
66	54	191
67	55	190
68	56	188
69	57	188
70	58	187
71	58	186
72	59	185
73	61	187
74	62	187
75	63	187
76	64	187
77	65	185
78	66	184
79	66	183
80	67	182
81	68	181
82	68	180
83	69	179
84	70	177
85	71	176
86	71	176
87	72	175
88	73	174
89	74	173
90	75	174
91	76	173
92	77	173
93	78	172
94	79	171
95	80	170
96	80	168
97	81	167
98	82	166
99	82	165
100	83	164
101	84	163
102	84	162
103	85	161
104	86	160
105	87	159
106	87	158
107	88	157
108	89	156
109	90	156
110	91	155
111	91	154
112	92	152
113	93	151
114	93	150
115	94	149
116	95	148
117	95	147
118	96	146
119	97	145
120	97	144
121	98	144
122	99	143
123	100	142
124	101	141
125	101	140
126	102	139
127	103	139
128	104	138
129	104	137
130	105	136
131	106	135
132	107	134
133	107	133
134	108	132
135	109	131
136	109	130
137	110	129
138	111	128
139	111	127
140	112	127
141	113	126
142	114	125
143	115	125
144	116	124
145	116	123
146	117	122
147	118	121
148	119	120
149	119	119
150	120	118
151	121	118
152	121	117
153	122	116
154	123	115
155	124	114
156	125	113
157	125	113
158	127	112
159	128	112
160	128	111
161	129	110
162	130	109
163	130	108
164	131	107
165	132	106
166	132	105
167	133	104
168	134	104
169	135	103
170	135	102
171	136	101
172	137	100
173	138	100
174	139	99
175	140	98
176	141	98
177	141	97
178	142	96
179	143	95
180	143	94
181	144	93
182	145	92
183	146	92
184	146	91
185	147	90
186	148	89
187	148	88
188	149	87
189	150	87
190	152	86
191	152	85
192	153	85
193	154	84
194	155	83
195	155	82
196	156	81
197	157	81
198	158	80
199	158	79
200	159	78
201	160	77
202	160	76
203	161	75
204	162	75
205	162	74
206	163	73
207	164	72
208	165	72
209	166	71
210	167	70
211	167	69
212	168	68
213	169	67
214	169	67
215	170	66
216	171	65
217	171	64
218	172	63
219	173	63
220	173	62
221	174	61
222	175	60
223	176	59
224	177	59
225	177	58
226	178	57
227	179	56
228	180	55
229	181	55
230	181	54
231	182	53
232	183	52
233	183	51
234	184	51
235	185	50
236	186	49
237	186	48
238	187	47
239	188	47
240	189	46
241	189	45
242	190	44
243	191	43
244	192	43
245	192	42
246	193	41
247	194	40
248	195	39
249	195	39
250	196	38
251	197	37
252	198	36
253	198	35
254	199	35
255	200	34
256	201	33
257	201	32
258	202	32
259	203	31
260	204	30
261	205	29
262	205	28
263	206	28
264	207	27
265	208	26
266	208	25
267	209	25
268	210	24
269	210	23
270	211	22
271	212	21
272	213	21
273	213	20
274	214	19
275	215	18
276	216	17
277	217	17
278	218	16
279	218	15
280	219	14
281	220	14
282	221	13
283	221	12
284	222	11
285	223	10
286	223	10
287	224	9
288	225	8
289	225	7
290	226	7
291	227	6
292	228	5
293	228	4
294	229	3
295	230	3
296	231	2
297	232	1
298	233	0
299	233	0
