iter	Passed	Remaining
0	5	1130
1	9	961
2	12	851
3	16	799
4	19	767
5	22	740
6	26	724
7	29	708
8	32	696
9	36	686
10	39	679
11	42	670
12	45	660
13	48	649
14	51	637
15	54	629
16	57	623
17	60	613
18	63	608
19	66	601
20	70	597
21	73	595
22	76	589
23	79	585
24	83	581
25	86	575
26	89	571
27	92	566
28	95	562
29	98	560
30	101	554
31	104	550
32	108	547
33	111	542
34	114	537
35	117	535
36	121	533
37	124	529
38	127	525
39	130	520
40	133	516
41	136	512
42	139	507
43	142	503
44	145	500
45	148	495
46	151	492
47	154	488
48	157	485
49	160	482
50	164	479
51	167	476
52	170	473
53	174	472
54	178	471
55	184	474
56	191	480
57	196	482
58	202	483
59	207	483
60	212	483
61	214	476
62	219	477
63	224	477
64	227	471
65	232	471
66	237	471
67	242	470
68	247	470
69	252	469
70	257	468
71	263	467
72	268	466
73	273	465
74	278	464
75	283	462
76	288	461
77	295	462
78	297	455
79	303	454
80	308	452
81	313	450
82	318	449
83	323	447
84	328	445
85	334	442
86	339	440
87	344	437
88	349	435
89	354	433
90	359	430
91	364	428
92	369	425
93	374	422
94	379	419
95	385	418
96	390	415
97	396	412
98	401	409
99	406	406
100	411	403
101	417	400
102	422	397
103	427	394
104	432	391
105	438	388
106	443	385
107	448	381
108	453	378
109	458	374
110	463	371
111	468	368
112	473	364
113	479	361
114	484	357
115	489	354
116	494	350
117	500	347
118	505	344
119	511	340
120	516	337
121	521	333
122	526	329
123	531	325
124	536	321
125	541	318
126	546	314
127	551	310
128	557	306
129	562	302
130	567	298
131	572	294
132	577	291
133	582	287
134	587	283
135	593	279
136	598	275
137	603	271
138	608	267
139	614	263
140	619	259
141	624	255
142	630	251
143	635	247
144	641	243
145	646	239
146	651	234
147	656	230
148	661	226
149	668	222
150	674	218
151	680	215
152	685	210
153	692	206
154	697	202
155	705	198
156	712	195
157	717	190
158	723	186
159	729	182
160	732	177
161	739	173
162	745	169
163	751	164
164	756	160
165	761	156
166	768	151
167	773	147
168	779	142
169	785	138
170	792	134
171	797	129
172	802	125
173	808	120
174	813	116
175	818	111
176	823	106
177	827	102
178	832	97
179	837	93
180	841	88
181	846	83
182	851	79
183	858	74
184	863	70
185	868	65
186	874	60
187	878	56
188	883	51
189	888	46
190	892	42
191	897	37
192	901	32
193	906	28
194	910	23
195	915	18
196	920	14
197	924	9
198	929	4
199	933	0
