iter	Logloss
0	0.686118674
1	0.6810750159
2	0.6752523733
3	0.6697150526
4	0.6644382423
5	0.6594864367
6	0.653989308
7	0.64830226
8	0.6436379599
9	0.6387326784
10	0.6321977577
11	0.6262264473
12	0.6218439412
13	0.6171425284
14	0.6123770211
15	0.6075420166
16	0.6044181797
17	0.59927326
18	0.5940825789
19	0.5898122498
20	0.5852091803
21	0.5811200412
22	0.5772415489
23	0.5735738392
24	0.5697394388
25	0.5663266371
26	0.562369803
27	0.5587918867
28	0.5547185976
29	0.5510183079
30	0.5476632285
31	0.5436516451
32	0.5394491002
33	0.5347935057
34	0.5314345887
35	0.5282316707
36	0.5246960531
37	0.5218022954
38	0.5188457855
39	0.5159603703
40	0.5126708962
41	0.5090939791
42	0.5063669898
43	0.5029860368
44	0.5000608113
45	0.4977004358
46	0.4948343604
47	0.4926180975
48	0.4892741363
49	0.4862781288
50	0.483387875
51	0.4806113424
52	0.4783624102
53	0.4765796833
54	0.4741001649
55	0.4721494309
56	0.4695035912
57	0.4674015469
58	0.4654409191
59	0.4635360343
60	0.4619825895
61	0.460985764
62	0.4592619599
63	0.4576361331
64	0.456109309
65	0.4541122464
66	0.4517175976
67	0.4498193049
68	0.4473813054
69	0.4450365742
70	0.443219024
71	0.4416785644
72	0.4396315651
73	0.4381188372
74	0.4356740847
75	0.4337747159
76	0.4319655262
77	0.4299661518
78	0.428986067
79	0.4275883138
80	0.4263912763
81	0.4245640791
82	0.4231533946
83	0.4212990226
84	0.4200347069
85	0.4184118301
86	0.4169810658
87	0.4155829181
88	0.4141061693
89	0.4124137489
90	0.4107872462
91	0.4092534621
92	0.407973329
93	0.4063373562
94	0.4046406354
95	0.4022392034
96	0.4013493907
97	0.3995831845
98	0.3983905806
99	0.3970317411
100	0.3948038648
101	0.3925059439
102	0.3908439429
103	0.3893103414
104	0.3883411527
105	0.3873565664
106	0.3861235372
107	0.3851355636
108	0.3838321463
109	0.38272771
110	0.3813623972
111	0.3797707237
112	0.3787010478
113	0.3775469802
114	0.3761172681
115	0.3748983561
116	0.3739851579
117	0.3727426408
118	0.3715336162
119	0.370289777
120	0.3688689145
121	0.3673654518
122	0.3660106781
123	0.3646020375
124	0.3636282435
125	0.3623981004
126	0.3612330881
127	0.3598353134
128	0.358900119
129	0.3578105802
130	0.356977928
131	0.355791015
132	0.3550386342
133	0.3540202057
134	0.3532377776
135	0.3518474315
136	0.3507310523
137	0.3496659334
138	0.3491825834
139	0.348358514
140	0.3473315788
141	0.3461493915
142	0.3446305941
143	0.34366453
144	0.3427845843
145	0.3419682157
146	0.3413533421
147	0.3402269795
148	0.3396368687
149	0.3385094634
150	0.337266356
151	0.3364780745
152	0.3358137303
153	0.3346690231
154	0.3339746049
155	0.3333567861
156	0.332197877
157	0.3313103436
158	0.3302782767
159	0.3296675491
160	0.329383555
161	0.3287798593
162	0.3275889353
163	0.3270453622
164	0.3257829541
165	0.3251697314
166	0.3243571644
167	0.3236736451
168	0.322576842
169	0.3215501849
170	0.320399726
171	0.3194669079
172	0.3185977662
173	0.317484215
174	0.3167419345
175	0.3156275946
176	0.3151120285
177	0.3145930121
178	0.3139504111
179	0.313105099
180	0.3121050975
181	0.3108487056
182	0.3102401515
183	0.3095595785
184	0.308808533
185	0.3078717076
186	0.3072226084
187	0.306660905
188	0.306073672
189	0.3056467541
190	0.3046708567
191	0.3039285518
192	0.303167568
193	0.3025704363
194	0.3019597899
195	0.3014937081
196	0.3005717069
197	0.3000556803
198	0.2993047851
199	0.2987082307
