iter	Passed	Remaining
0	92	18408
1	101	10096
2	106	6971
3	110	5409
4	114	4469
5	118	3840
6	123	3394
7	127	3055
8	131	2792
9	135	2579
10	139	2404
11	144	2258
12	148	2132
13	152	2026
14	156	1932
15	160	1850
16	165	1776
17	169	1710
18	173	1652
19	177	1597
20	181	1548
21	185	1503
22	190	1462
23	194	1424
24	198	1388
25	202	1355
26	206	1324
27	210	1295
28	215	1267
29	219	1241
30	223	1219
31	227	1196
32	232	1174
33	236	1153
34	240	1133
35	244	1114
36	249	1097
37	253	1079
38	257	1062
39	261	1045
40	266	1032
41	271	1021
42	275	1006
43	280	994
44	285	983
45	289	970
46	294	957
47	298	944
48	302	932
49	307	921
50	311	909
51	315	898
52	322	893
53	326	882
54	330	871
55	335	861
56	339	851
57	344	842
58	348	832
59	354	826
60	358	816
61	359	801
62	364	791
63	368	783
64	370	770
65	375	761
66	379	753
67	384	746
68	389	738
69	393	730
70	397	722
71	402	715
72	407	709
73	414	706
74	420	701
75	427	697
76	432	691
77	439	687
78	440	675
79	444	667
80	449	660
81	453	652
82	457	644
83	461	637
84	465	630
85	470	623
86	474	616
87	479	610
88	484	604
89	488	597
90	492	590
91	496	583
92	501	576
93	505	569
94	509	562
95	513	556
96	517	549
97	522	543
98	526	537
99	530	530
100	535	524
101	539	518
102	543	511
103	548	506
104	552	499
105	556	493
106	560	487
107	565	481
108	569	475
109	573	469
110	577	462
111	581	456
112	585	450
113	589	444
114	594	439
115	598	433
116	602	427
117	606	421
118	610	415
119	614	409
120	618	404
121	622	397
122	625	391
123	629	385
124	632	379
125	636	374
126	640	368
127	645	362
128	649	357
129	653	351
130	657	346
131	661	340
132	665	335
133	669	329
134	674	324
135	678	319
136	682	314
137	686	308
138	691	303
139	695	297
140	699	292
141	703	287
142	707	282
143	711	276
144	715	271
145	719	266
146	723	261
147	728	255
148	732	250
149	736	245
150	740	240
151	744	235
152	748	229
153	752	224
154	756	219
155	761	214
156	765	209
157	769	204
158	773	199
159	777	194
160	779	188
161	783	183
162	787	178
163	792	173
164	796	168
165	800	163
166	804	159
167	809	154
168	813	149
169	818	144
170	822	139
171	826	134
172	830	129
173	834	124
174	838	119
175	842	114
176	846	110
177	850	105
178	855	100
179	859	95
180	863	90
181	867	85
182	871	80
183	875	76
184	879	71
185	883	66
186	887	61
187	891	56
188	896	52
189	900	47
190	904	42
191	908	37
192	913	33
193	917	28
194	921	23
195	925	18
196	929	14
197	933	9
198	937	4
199	941	0
